address,addressar,areaar,areaen,country,countryar,educationcenterid,educationcenter_typeid,email,establishedon,fax,hepgraduates_per_year,hepnumber_students,hepqualityassurancear,hepqualityassuranceen,hepyear,lat,long,name_ar,name_eng,pobox,telephone,web_address,load_timestamp
"Building Block no. 5, DIAC, Dubai, UAE","المبنى: بلوك رقم 05, دبي, الإمارات العربية المتحدة",NA,NA,Australia,استراليا,770,3,lakshmi.raman@spjain.org,00:00.0,,430,1809,ضمان الجودة الدولي,International Quality Assurance,2024,25.12,55.41,مدرسة اس بي جاين للإدارة العالمية,S P Jain School of Global Management,502345,97145616700,www.spjain.ae,00:25.0
"DIAC,Premises: G01, Groud Floor, Block 11, Dubai, UAE","المقر:جي01, الطابق الأرضي, المبنى 11.  مدينة دبي الأكاديمية العالمية,  دبي, الإمارات العربية المتحدة",NA,NA,Lebanon,لبنان,791,3,usj.dubai@usj.edu.lb,00:00.0,,23,91,ضمان الجودة الوطني,Local Quality Assurance,2024,25.13,55.41,جامعة سان جوزيف دبي,Saint Joseph University Dubai,345008,97144380630,www.usj.edu.lb/dubai,00:25.0
"Dubai Knowledge Park, plot No. A-004-040",قرية المعرفة بدبي- قطعة أرض رقم :A-004-040,NA,NA,United Arab Emirates,الإمارات العربية المتحدة,152598,3,admissiondxb@adu.ac.ae,00:00.0,,44,166,ضمان الجودة الوطني,Local Quality Assurance,2024,25.1,55.17,جامعة أبوظبي,Abu Dhabi University,410896,97142481500,www.adu.ac.ae,00:25.0
"Unit GV-00-02-01-BC-01
Level 1
Gate Village Building 02
Dubai International Financial
Centre","Unit GV-00-02-01-BC-01
Level 1
 2 قرية البوابة المبنى
 مركز دبي المالي العالمي",,,,,506563,3,osb@aub.edu.lb,,,,,,,,25.21,55.28,الجامعة الأميركية في بيروت,American University of Beirut,,,https://www.aub.edu.lb/osb/Landing/EMBA-Web-GS.htm,00:25.0
"4th Floor Convention Tower, Dubai World Trade Centre, Dubai, UAE ",,NA,NA,United Arab Emirates,الإمارات العربية المتحدة,504481,3,fcapone@luiss.it,00:00.0,,0,0,ضمان الجودة الدولي,International Quality Assurance,2022,25.22,55.28,ليبرا يونيفرسيتا انترنازيونال ديجلي ستادي سوشيال جويدو كارلي (فرع سلطة مركز دبي التجاري العالمي),LUISS Libera Universita Internazionale degli Studi Sociali Guido Carli (DWTCA Branch),,9714718 3100,https://dubai.luiss.it/,00:25.0
"FL2-FF, Second Floor, Building Name : 12, and G02, Ground Floor, Building 12, Dubai International Academic City, Dubai, United Arab Emirates. ",طابق كامل ، الطابق الثاني ، مبنى رقم 12 و جي 02، قراوند فلور ، مبنى 12، مدينة دبي الأكاديمية العالمية، دبي ، الإمارات العربية المتحدة ,مدينة دبي العالمية الأكاديمية,Dubai International Academic City,,,506161,3,mba.dubai@iima.ac.in,00:00.0,,,,,,,25.13,55.41,انديان انستيتوت اوف مانجمنت أحمد آباد,Indian Institute of Management Ahmedabad,0,+971 503882723,https://www.iima.ac.in/dubai ,00:25.0
Dubai International Academic City,مدينة دبي الأكاديمية العالمية,مدينة دبي العالمية الأكاديمية,Dubai International Academic City,UNITED KINGDOM (UK),بريطانيا,151899,3,dubaiqateam@contacts.bham.ac.uk,00:00.0,,330,2491,ضمان الجودة الوطني,Local Quality Assurance,2024,25.13,55.42,جامعة بيرمنجهام في دبي,University of Birmingham Dubai,341799,97144280500,www.birmingham.ac.uk/dubai/index.aspx,00:25.0
"American University in the Emirates in Dubai Dubai Intl. Academic City P.O. Box 503000 Block 6, floor 2, UAE ","الجامعة الأمريكية في الإمارات، دبي. مدينة دبي الأكاديمية، صندوق بريد ""503000""، مبنى 6، الطابق الثاني ",مدينة دبي العالمية الأكاديمية,Dubai International Academic City,N/A,-,506554,3,president@aue.ae,,,,,,,,55.56,55.56,الجامعة الأمريكية في الإمارات,American University in the Emirates,,971 4 4499 000,https://aue.ae/,00:25.0
"Building 20 and 21 - Dubai Knowledge Park
Additional Premise:
Block 09 and 10 - Ground Floor and First Floor - Dubai Knowledge Park","المبنى 20 و21 - مدينة دبي للمعرفة
مقر إضافي:
المبنى 09 و10 - الطابق الأرضي والطابق الأول - مدينة دبي للمعرفة",NA,NA,UNITED KINGDOM (UK),بريطانيا,768,3,dubaienquiries@hw.ac.uk,00:00.0,,834,4763,ضمان الجودة الدولي,International Quality Assurance,2024,25.1,55.16,جامعة هيريوت وات,Heriot-Watt University,,97145717000,www.hw.ac.uk\dubai,00:25.0
"Unit N401, Level 4, Emirates Financial Towers, DIFC, Dubai , UAE",وحدة N401 الطابق 4، أبراج الإمارات المالية، مركز دبي المالي العالمي، دبي، الإمارات العربية المتحدة,NA,NA,N/A,-,500496,3,chiefofstaff@u-paris2dxb.ae,00:00.0,,,,,,,25.21,55.28,جامعة باريس الثانية بانثيون أساس,University Paris II Panthéon-Assas,23325,9.7151E+11,https://www.u-paris2.fr/en,00:25.0
"DIAC, Block 10 First Floor and Block 11, First and second","مدينة دبي الأكاديمية العالمية : مبنى 10 الطابق الأول و مبنى 11الطابق الأول و الثاني, دبي, الإمارات العربية المتحدة",NA,NA,United Arab Emirates,الإمارات العربية المتحدة,787,3,info@buid.ac.ae,00:00.0,,234,1052,ضمان الجودة الوطني,Local Quality Assurance,2024,25.13,55.41,الجامعة البريطانية فى دبي,British University in Dubai,345015,97142791400,www.buid.ac.ae,00:25.0
"Building 18, 1st and 2nd full floor, Dubai Media City, Dubai Knowledge Park, Dubai, UAE",مبنى 18، الطابقين الأول والثاني كاملين، مدينة دبي للإعلام، دبي، الإمارات العربية المتحدة,NA,NA,Australia,استراليا,764,3,info@murdochuniversitydubai.com,00:00.0,,141,1077,ضمان الجودة الدولي,International Quality Assurance,2024,25.1,55.16,جامعة مردوك في دبي,"Murdoch University, Dubai",500700,97145749800,www.murdochuniversitydubai.com,00:25.0
